Species,method,TLinfinity,K,Auxim,Sex,Type,Loo,sppLinfmean,Linf_stand,year,Locality,x,y
Coregonus clupeaformis,scales,44,0.18,unchecked,unsexed,TL,44,57.86322917,-0.31507339,1964,"USA, Cliff Lake, Northwestern Maine",-69.24957,46.40401
Coregonus clupeaformis,scales,50.5,0.09,unchecked,unsexed,TL,50.5,57.86322917,-0.145806518,1960,"USA, Munising Bay, Lake Superior",-86.64557,46.42052
Coregonus clupeaformis,otoliths,NA,0.202,unchecked,mixed,FL,46.7,57.86322917,-0.23904131,2015,"Canada, Great Slave Lake: deep water area V",-113.65593,61.89327
Coregonus clupeaformis,otoliths,NA,0.161,unchecked,mixed,FL,49.2,57.86322917,-0.176081894,2015,"Canada, Great Slave Lake: deep water area III",-113.65593,61.89327
Coregonus clupeaformis,otoliths,NA,0.184,unchecked,mixed,FL,49.3,57.86322917,-0.173696332,2015,"Canada, Great Slave Lake: deep water area IE",-113.65593,61.89327
Coregonus clupeaformis,otoliths,NA,0.139,unchecked,mixed,FL,49.6,57.86322917,-0.166597362,2015,"Canada, Great Slave Lake: deep water area IV",-113.65593,61.89327
Coregonus clupeaformis,otoliths,NA,0.143,unchecked,mixed,FL,51.5,57.86322917,-0.123557848,2015,"Canada, Great Slave Lake: deep water area II",-113.65593,61.89327
Coregonus clupeaformis,otoliths,NA,0.171,unchecked,mixed,FL,51.5,57.86322917,-0.123557848,2015,"Canada, Great Slave Lake: deep water area IW",-113.65593,61.89327
Coregonus clupeaformis,otoliths,63,0.5,unchecked,mixed,TL,63,57.86322917,0.081536045,2007,"Canada, Lake Erie: West Central Basin",-81.26587,42.40723
Coregonus clupeaformis,otoliths,46.91,0.49,unchecked,unsexed,TL,46.91,57.86322917,-0.233494546,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,46.91,1.09,unchecked,unsexed,TL,46.91,57.86322917,-0.233494546,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,49.41,0.61,unchecked,unsexed,TL,49.41,57.86322917,-0.171083367,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,49.61,0.93,unchecked,unsexed,TL,49.61,57.86322917,-0.166362209,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,50.81,0.26,unchecked,unsexed,TL,50.81,57.86322917,-0.138815768,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Coregonus clupeaformis,otoliths,51.41,0.24,unchecked,unsexed,TL,51.41,57.86322917,-0.125524784,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,51.41,0.25,unchecked,unsexed,TL,51.41,57.86322917,-0.125524784,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,52.51,0.74,unchecked,unsexed,TL,52.51,57.86322917,-0.101946851,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,53.31,0.2,unchecked,unsexed,TL,53.31,57.86322917,-0.085410414,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,53.51,0.26,unchecked,unsexed,TL,53.51,57.86322917,-0.081353563,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,54.11,0.27,unchecked,unsexed,TL,54.11,57.86322917,-0.069362949,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Coregonus clupeaformis,otoliths,54.71,0.49,unchecked,unsexed,TL,54.71,57.86322917,-0.057635335,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,54.71,1.03,unchecked,unsexed,TL,54.71,57.86322917,-0.057635335,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,55.21,0.85,unchecked,unsexed,TL,55.21,57.86322917,-0.04805704,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,56.01,1.26,unchecked,unsexed,TL,56.01,57.86322917,-0.033087469,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,56.31,0.62,unchecked,unsexed,TL,56.31,57.86322917,-0.027583541,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Coregonus clupeaformis,otoliths,56.51,0.16,unchecked,unsexed,TL,56.51,57.86322917,-0.02394672,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,56.51,0.32,unchecked,unsexed,TL,56.51,57.86322917,-0.02394672,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,58.81,0.5,unchecked,unsexed,TL,58.81,57.86322917,0.016098807,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,59.71,0.81,unchecked,unsexed,TL,59.71,57.86322917,0.030929004,2007,"USA, Lake Superior, Wisconsin",-90.50537,46.99524
Coregonus clupeaformis,otoliths,60.01,0.3,unchecked,unsexed,TL,60.01,57.86322917,0.035773552,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,60.71,0.25,unchecked,unsexed,TL,60.71,57.86322917,0.0468913,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,60.71,0.76,unchecked,unsexed,TL,60.71,57.86322917,0.0468913,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,63.01,0.2,unchecked,unsexed,TL,63.01,57.86322917,0.08168181,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Coregonus clupeaformis,otoliths,63.01,0.68,unchecked,unsexed,TL,63.01,57.86322917,0.08168181,2007,"Canada, Lake Erie",-81.03516,42.50045
Coregonus clupeaformis,otoliths,63.71,0.12,unchecked,unsexed,TL,63.71,57.86322917,0.091771634,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,67.31,0.08,unchecked,unsexed,TL,67.31,57.86322917,0.140347212,2007,"USA, Lake Michigan, Michigan",-85.71533,45.27489
Coregonus clupeaformis,otoliths,72.01,0.06,unchecked,unsexed,TL,72.01,57.86322917,0.196455643,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Coregonus clupeaformis,otoliths,72.01,0.1,unchecked,unsexed,TL,72.01,57.86322917,0.196455643,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Coregonus clupeaformis,otoliths,76.01,0.05,unchecked,unsexed,TL,76.01,57.86322917,0.238741887,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Coregonus clupeaformis,otoliths,76.01,0.13,unchecked,unsexed,TL,76.01,57.86322917,0.238741887,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Coregonus clupeaformis,otoliths,78.01,0.05,unchecked,unsexed,TL,78.01,57.86322917,0.258258824,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Coregonus clupeaformis,otoliths,79.01,0.08,unchecked,unsexed,TL,79.01,57.86322917,0.267646764,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Coregonus clupeaformis,otoliths,79.01,0.1,unchecked,unsexed,TL,79.01,57.86322917,0.267646764,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Coregonus clupeaformis,otoliths,NA,0.1198,unchecked,mixed,FL,47.395,57.86322917,-0.220872015,2017,"Canada, Great Slave Lake, Northwest Territories",-114.67529,62.22956
Cyprinus carpio,scales,81.97,0.122,unchecked,mixed,TL,81.97,68.6585,0.162394779,2003,"Croatia, Vransko Lake",15.57274,43.89487
Cyprinus carpio,scales,82,0.122,unchecked,unsexed,TL,82,68.6585,0.16270122,2003,"Croatia, Vransko Lake",15.57274,43.89487
Cyprinus carpio,otoliths,NA,0.38,unchecked,female,FL,53.8,68.6585,-0.276180297,2004,"Australia, Campaspe Channels, Victoria",144.64675,-36.40395
Cyprinus carpio,otoliths,NA,0.18,unchecked,female,FL,59.4,68.6585,-0.155867003,2005,"Australia, Barmah Forest, Victoria",144.96117,-35.94685
Cyprinus carpio,scales,NA,0.3,unchecked,female,FL,61.5,68.6585,-0.116398374,1995,"Slovakia, Danube",17.63014,47.80658
Cyprinus carpio,otoliths,NA,0.35,unchecked,female,FL,63.9,68.6585,-0.074467919,1999,"Australia, lower Murray River, South Australia",144.94031,-36.07814
Cyprinus carpio,otoliths,NA,0.35,unchecked,female,FL,66.2,68.6585,-0.037137462,2011,"South Africa, Lake Gariep, (30°38'S; 25°46'E), Orange River",25.4951,-30.62805
Cyprinus carpio,scales,NA,0.75,unchecked,female,FL,75.5,68.6585,0.090615894,2011,"Kenya, Lake Naivasha",36.35538,-0.75864
Cyprinus carpio,scales,NA,0.15,unchecked,female,FL,76.7,68.6585,0.104843546,2000,"Turkey, Golhisar Lake",29.59974,37.1157
Cyprinus carpio,otoliths,NA,0.25,unchecked,male,FL,48.9,68.6585,-0.404059305,2005,"Australia, Barmah Forest, Victoria",144.96117,-35.94685
Cyprinus carpio,otoliths,NA,0.48,unchecked,male,FL,49.5,68.6585,-0.387040404,2004,"Australia, Campaspe, Victoria",144.51907,-36.76945
Cyprinus carpio,otoliths,NA,0.35,unchecked,male,FL,60,68.6585,-0.144308333,1999,"Australia, lower Murray River, South Australia",144.94031,-36.07814
Cyprinus carpio,scales,NA,0.68,unchecked,male,FL,61.8,68.6585,-0.110978964,2011,"Kenya, Lake Naivasha",36.35538,-0.75864
Cyprinus carpio,otoliths,NA,0.56,unchecked,male,FL,61.9,68.6585,-0.109184168,1985,"South Africa, Hartbeespoort Dam",27.86686,-25.75206
Cyprinus carpio,scales,NA,0.14,unchecked,male,FL,69.4,68.6585,0.010684438,1995,"Slovakia, Danube",17.63014,47.80658
Cyprinus carpio,scales,NA,0.17,unchecked,male,FL,72.8,68.6585,0.056888736,2000,"Turkey, Golhisar Lake",29.59974,37.1157
Cyprinus carpio,scales,NA,0.21,unchecked,mixed,FL,67.5,68.6585,-0.017162963,2006,"New Zealand, Waikato region",173.41475,-34.83154
Cyprinus carpio,scales,NA,0.16,unchecked,mixed,FL,90.5,68.6585,0.241342541,1989,"Hungary, Lake Tisza",20.62408,47.57375
Cyprinus carpio,scales,NA,0.17,unchecked,mixed,FL,93,68.6585,0.261736559,1986,"China, Dong Jiang River",114.75459,23.80321
Cyprinus carpio,scales,NA,0.13,unchecked,mixed,SL,76.9,68.6585,0.107171651,1957,"Russia, Amur River",134.56968,48.3582
Diplodus annularis,scales,26.7,0.56,unchecked,unsexed,TL,17.1,20.62769231,-0.206297796,1978,"France, Gulf of Lion",4.25298,42.93852
Diplodus annularis,otoliths,20.4,0.544,unchecked,unsexed,TL,20.4,20.62769231,-0.011161388,1997,"Spain, Catalan coast",1.71387,41.14971
Diplodus annularis,otoliths,25,0.243,unchecked,female,TL,25,20.62769231,0.174892308,2001,"Canary Is., off Gran Canaria",-15.85876,28.08167
Diplodus annularis,otoliths,24.6,0.271,unchecked,male,TL,24.6,20.62769231,0.161475922,2001,"Canary Is., off Gran Canaria",-15.85876,28.08167
Diplodus annularis,otoliths,18.6447,0.21,unchecked,female,FL,17.2,20.62769231,-0.199284436,2002,"Turkey, Edremit Gulf",26.69844,39.46236
Diplodus annularis,scales,22.6,0.173,unchecked,mixed,TL,22.6,20.62769231,0.087270252,2004,"Croatia, Eastern Adriatic Sea",14.55688,44.33171
Diplodus annularis,scales,22.6,0.16,unchecked,mixed,TL,22.6,20.62769231,0.087270252,2001,"Tunisia, Gabes Gulf",10.20905,33.96386
Diplodus annularis,scales,22.13,0.126,unchecked,female,TL,22.13,20.62769231,0.067885571,2007,"Croatia,	eastern middle Adriatic",15.23804,43.68376
Diplodus annularis,scales,21.94,0.125,unchecked,male,TL,21.94,20.62769231,0.059813477,2007,"Croatia, eastern middle Adriatic",15.23804,43.68376
Diplodus annularis,scales,23.95,0.126,unchecked,unsexed,TL,23.95,20.62769231,0.138718484,2007,"Croatia, eastern middle Adriatic",15.23804,43.68376
Diplodus annularis,scales,NA,0.46,unchecked,unsexed,NA,19.54,20.62769231,-0.055664908,2007,"Algeria, Gulf d' Annaba",7.74261,36.98062
Diplodus annularis,otoliths,15.9,0.45,unchecked,female,TL,15.9,20.62769231,-0.297339139,2010,"Spain, Mallorca",2.66968,39.90131
Diplodus annularis,otoliths,15.2,0.47,unchecked,male,TL,15.2,20.62769231,-0.35708502,2010,"Spain, Mallorca",2.66968,39.90131
Pagellus erythrinus,otoliths,38.35294,0.15,unchecked,mixed,FL,32.6,34.354375,-0.053815184,1993,"Greece, Central Aegean Sea",25.11475,38.97649
Pagellus erythrinus,otoliths,50.58823,0.118,unchecked,mixed,FL,43,34.354375,0.201061047,1989,"Greece, Evvoikos Gulf",24.104,38.16911
Pagellus erythrinus,scales,47.29412,0.255,unchecked,mixed,FL,46.5,34.354375,0.261196237,1981,"France, Gulf of Lion",4.25298,42.93852
Pagellus erythrinus,scales,28.5224,0.317,unchecked,unsexed,TL,24.2,34.354375,-0.419602273,2002,"Greece, Crete",24.38965,35.0165
Pagellus erythrinus,otoliths,27,0.239,unchecked,unsexed,TL,27,34.354375,-0.272384259,2002,"Italy, Tuscan Archipelago",10.299,42.86112
Pagellus erythrinus,otoliths,30,0.203,unchecked,unsexed,TL,30,34.354375,-0.145145833,1989,Cyprus,33.12103,35.44501
Pagellus erythrinus,scales,38.1,0.18,unchecked,unsexed,FL,32.6,34.354375,-0.053815184,1988,"Greece,	Ionian Sea (and Patraikos + Korinthiakos Gulf)",20.9729,38.11727
Pagellus erythrinus,otoliths,36.7,0.164,unchecked,unsexed,TL,36.7,34.354375,0.063913488,1985,"Italy, Sicilian Channel",13.37158,38.10337
Pagellus erythrinus,otoliths,41.8,0.205,unchecked,unsexed,TL,41.8,34.354375,0.178125,1998,Canary Is.,-16.74866,28.51456
Pagellus erythrinus,scales,51.7,0.136,unchecked,unsexed,TL,51.7,34.354375,0.335505319,1967,"Spain, Castellon",0.11261,40.00868
Pagellus erythrinus,scales,37.9,0.2,unchecked,mixed,TL,37.9,34.354375,0.093552111,1980,"Croatia, Middle Adriatic",15.28198,43.54058
Pagellus erythrinus,scales,32.8,0.202,unchecked,mixed,TL,32.8,34.354375,-0.047389482,2001,"Croatia, off Boka Kotorska Bay",18.57513,42.34231
Pagellus erythrinus,scales,37.7,0.162,unchecked,mixed,TL,37.7,34.354375,0.088743369,2001,"Croatia, Boka Kotorska Bay",18.67203,42.45425
Pagellus erythrinus,otoliths,22.3,0.3,unchecked,female,FL,19.2,34.354375,-0.789290365,2003,"Turkey, Edremit Bay",26.69844,39.46236
Pagellus erythrinus,otoliths,29.5,0.15,unchecked,male,FL,25.3,34.354375,-0.357880435,2003,"Turkey, Edremit Bay",26.69844,39.46236
Pagellus erythrinus,otoliths,30.67,0.165,unchecked,mixed,TL,30.67,34.354375,-0.120129605,2011,"Turkey	Izmir Bay",26.77939,38.52582
Pagrus pagrus,scales,67.67922,0.078,unchecked,unsexed,FL,55.7,49.15529412,0.117499208,1992,"Greece, Dodecanese",26.18042,37.16032
Pagrus pagrus,scales,76.3,0.096,unchecked,unsexed,TL,76.3,49.15529412,0.355762856,1977,"USA, North and South Carolina",-78.29956,33.54139
Pagrus pagrus,otoliths,59.6,0.166,unchecked,female,TL,59.6,49.15529412,0.175246743,1996,"Canary Is., Tenerife and Gran Canaria",-16.10596,28.13013
Pagrus pagrus,otoliths,64.5,0.142,unchecked,male,TL,64.5,49.15529412,0.237902417,1996,"Canary Is., Tenerife and Gran Canaria",-16.10596,28.13013
Pagrus pagrus,otoliths,41.08,0.281,unchecked,unsexed,FL,35.6,49.15529412,-0.380766689,1997,"USA, Cape Fear, NC to Cape Canaveral, FL",-79.7168,31.95216
Pagrus pagrus,otoliths,44.14,0.273,unchecked,unsexed,FL,38.3,49.15529412,-0.283428045,1997,"USA, Cape Fear, NC to Cape Canaveral, FL",-79.7168,31.95216
Pagrus pagrus,otoliths,45.05,0.343,unchecked,unsexed,FL,39.1,49.15529412,-0.257168648,1997,"USA, Cape Fear, NC to Cape Canaveral, FL",-79.7168,31.95216
Pagrus pagrus,otoliths,52.76,0.226,unchecked,unsexed,FL,45.9,49.15529412,-0.07092144,1997,"USA, Cape Fear, NC to Cape Canaveral, FL",-79.7168,31.95216
Pagrus pagrus,scales,50.4937,0.303,unchecked,unsexed,FL,43.9,49.15529412,-0.119710572,1998,"Greece, tanks",22.82272,39.49026
Pagrus pagrus,scales,51.0607,0.137,unchecked,unsexed,FL,44.4,49.15529412,-0.107101219,1998,"Greece, Crete",24.38965,35.0165
Pagrus pagrus,scales,55.4,0.28,unchecked,unsexed,TL,55.4,49.15529412,0.112720323,1988,"USA, Western Gulf of Mexico",-95.22949,27.52776
Pagrus pagrus,otoliths,64.5,0.15,unchecked,unsexed,TL,64.5,49.15529412,0.237902417,2002,"USA, North Carolina to Southeast Florida",-78.37646,33.61462
Pagrus pagrus,otoliths,54.6,0.198,unchecked,unsexed,TL,54.6,49.15529412,0.099719888,1996,"Brazil, S?o Paulo",-46.35338,-24.01511
Pagrus pagrus,otoliths,44.6,0.237,unchecked,unsexed,TL,44.6,49.15529412,-0.102136639,1991,"Brazil, Southeastern region",-47.63672,-28.88316
Pagrus pagrus,scales,33.5,0.19,unchecked,female,TL,33.5,49.15529412,-0.467322212,2017,"Libya, Benghazi coast",20.05005,32.14306
Pagrus pagrus,scales,35.04,0.2,unchecked,male,TL,35.04,49.15529412,-0.402833736,2018,"Libya, Benghazi coast",20.05005,32.14306
Pagrus pagrus,scales,44.7,0.204,unchecked,mixed,TL,44.7,49.15529412,-0.099671009,2020,"Brazil, Rio Grande (southern Brazil)",-51.68567,-25.85315
Salvelinus namaycush,scales,97.5,0.122,unchecked,unsexed,TL,97.5,77.71255814,0.202948122,1960,"USA, Cayuga Lake, New York",-76.71443,42.69922
Salvelinus namaycush,otoliths,48.70468,0.18,within ellipse,unsexed,FL,45.4,77.71255814,-0.711730355,1997,"Alaska, Glacier Lake",-134.55805,58.40847
Salvelinus namaycush,otoliths,50.20658,0.1,within ellipse,unsexed,FL,46.8,77.71255814,-0.660524747,1997,"Alaska, Tangle Lake",-145.96422,63.10913
Salvelinus namaycush,otoliths,61.57816,0.22,within ellipse,unsexed,FL,57.4,77.71255814,-0.35387732,1997,"Alaska, Summit Lake",-145.54928,63.1177
Salvelinus namaycush,otoliths,64.68925,0.11,within ellipse,unsexed,FL,60.3,77.71255814,-0.288765475,1997,"Alaska, Butte Lake",-121.2888,40.55891
Salvelinus namaycush,otoliths,66.40572,0.15,within ellipse,unsexed,FL,61.9,77.71255814,-0.255453282,1997,"Alaska, Paxson Lake",-145.53102,62.91917
Salvelinus namaycush,otoliths,84.21404,0.09,within ellipse,unsexed,FL,78.5,77.71255814,0.010031107,1997,"Alaska, Upper Tangle Lake",-146.05413,62.99804
Salvelinus namaycush,otoliths,88.39792,0.1,within ellipse,unsexed,FL,82.4,77.71255814,0.05688643,1997,"Alaska, Fielding Lake",-145.6747,63.17239
Salvelinus namaycush,otoliths,96.55112,0.05,within ellipse,unsexed,FL,90,77.71255814,0.136527132,1997,"Alaska, Chandler Lake",-152.71522,68.22553
Salvelinus namaycush,scales,59.91,0.31,unchecked,unsexed,TL,59.91,77.71255814,-0.297155035,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Salvelinus namaycush,scales,67.81,0.3,unchecked,unsexed,TL,67.81,77.71255814,-0.146033891,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Salvelinus namaycush,scales,69.31,0.11,unchecked,unsexed,TL,69.31,77.71255814,-0.121231541,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
